Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Análise;Data Recusa;Data Finalização;Prazo Resposta;Prazo Analise Gestor;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 31 a 40 anos;2023;11;15/11/2023;;01/12/2023;16/11/2023;2024-01-01;10/12/2023;15;;Jadlog;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 41 a 50 anos;2023;11;16/11/2023;11/12/2023;06/12/2023;21/11/2023;2024-01-01;11/12/2023;15;10;Hipercard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente a cobrança não reconhecida;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Jundiaí;F;entre 41 a 50 anos;2023;11;16/11/2023;;06/12/2023;22/11/2023;2024-01-01;10/12/2023;14;;99App;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Aplicativo de mobilidade urbana;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 31 a 40 anos;2023;11;16/11/2023;11/12/2023;06/12/2023;21/11/2023;2024-01-01;11/12/2023;15;10;iFood;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Serviços de entrega / delivery;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 51 a 60 anos;2023;11;17/11/2023;11/12/2023;06/12/2023;22/11/2023;2024-01-01;11/12/2023;14;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Jundiaí;F;entre 31 a 40 anos;2023;11;17/11/2023;;04/12/2023;21/11/2023;2024-01-01;10/12/2023;13;;Philips Áudio e Vídeo;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos Eletrodomésticos e Eletrônicos;Televisão;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Loja física;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Barreiros;F;entre 61 a 70 anos;2023;11;17/11/2023;12/12/2023;07/12/2023;22/11/2023;2024-01-02;12/12/2023;15;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Jequié;M;entre 51 a 60 anos;2023;11;17/11/2023;;06/12/2023;21/11/2023;2024-01-03;12/12/2023;15;;Hyundai Caoa;Montadoras, Concessionárias e Prestadores de Serviços Automotivos;Demais Produtos;Veículos ? Peças e Acessórios (roda, pneu, rádio, farol, etc.);Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Loja física;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;São José do Egito;F;entre 61 a 70 anos;2023;11;17/11/2023;12/12/2023;07/12/2023;22/11/2023;2024-01-02;12/12/2023;15;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Osasco;M;entre 21 a 30 anos;2023;11;18/11/2023;12/12/2023;12/12/2023;27/11/2023;2024-01-02;13/12/2023;15;9;Uber;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Aplicativo de mobilidade urbana;Dados Pessoais e Privacidade;Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
